region,provincia,distrito,candidato,dni,esvalido
Áncash,Huaraz,Huaraz,16611744,Irene Reiher,1
Áncash,Huaraz,Huaraz,51865219,Virginia Stinson,1
Áncash,Huaraz,Huaraz,75787859,Terrell Gregory,1
Áncash,Huaraz,Huaraz,56836596,Terrell Gregory,1
Áncash,Huaraz,Huaraz,23424517,Virginia Stinson,0
Áncash,Huaraz,Huaraz,14423928,Terrell Gregory,0
Áncash,Huaraz,Huaraz,46633144,Terrell Gregory,1
Áncash,Huaraz,Huaraz,60618322,Terrell Gregory,0
Áncash,Huaraz,Huaraz,57813985,Terrell Gregory,1
Áncash,Huaraz,Huaraz,21989847,Terrell Gregory,1
Áncash,Huaraz,Huaraz,77258677,James Ratliff,0
Áncash,Huaraz,Huaraz,40699377,Helen Mathias,1
Áncash,Huaraz,Huaraz,36487719,Helen Mathias,0
Áncash,Huaraz,Huaraz,37774149,Helen Mathias,1
Áncash,Huaraz,Huaraz,84490560,Irene Reiher,0
Áncash,Huaraz,Huaraz,67262184,Terrell Gregory,1
Áncash,Huaraz,Huaraz,85576775,James Ratliff,1
Áncash,Huaraz,Huaraz,69882037,James Ratliff,0
Áncash,Huaraz,Huaraz,14579879,Terrell Gregory,0
Áncash,Huaraz,Huaraz,15901134,Virginia Stinson,1
Áncash,Huaraz,Huaraz,27359332,James Ratliff,0
Áncash,Huaraz,Huaraz,55267064,Helen Mathias,1
Áncash,Huaraz,Huaraz,11781158,Irene Reiher,1
Áncash,Huaraz,Huaraz,37358105,Helen Mathias,1
Áncash,Huaraz,Huaraz,67962838,Virginia Stinson,1
Áncash,Huaraz,Huaraz,56718378,James Ratliff,0
Áncash,Huaraz,Huaraz,54662658,James Ratliff,0
Áncash,Huaraz,Huaraz,59861881,James Ratliff,0
Áncash,Huaraz,Huaraz,53083665,Helen Mathias,0
Áncash,Huaraz,Huaraz,43159336,James Ratliff,0
Áncash,Huaraz,Huaraz,78263261,Helen Mathias,0
Áncash,Huaraz,Huaraz,52881248,Helen Mathias,0
Áncash,Huaraz,Huaraz,84139811,Irene Reiher,1
Áncash,Huaraz,Huaraz,69882095,James Ratliff,1
Áncash,Huaraz,Huaraz,18399442,Terrell Gregory,1
Áncash,Huaraz,Huaraz,40155970,Terrell Gregory,1
Áncash,Huaraz,Huaraz,70062023,James Ratliff,1
Áncash,Huaraz,Huaraz,80540783,Terrell Gregory,0
Áncash,Huaraz,Huaraz,62733590,James Ratliff,1
Áncash,Huaraz,Huaraz,57967539,Virginia Stinson,1
Áncash,Huaraz,Huaraz,53038487,Virginia Stinson,0
Áncash,Huaraz,Huaraz,55830643,Terrell Gregory,1
Áncash,Huaraz,Huaraz,34985293,James Ratliff,1
Áncash,Huaraz,Huaraz,74172847,Irene Reiher,1
Áncash,Huaraz,Huaraz,30062541,Terrell Gregory,0
Áncash,Huaraz,Huaraz,37167955,Irene Reiher,1
Áncash,Huaraz,Huaraz,51620077,James Ratliff,1
Áncash,Huaraz,Huaraz,80997261,Irene Reiher,0
Áncash,Huaraz,Huaraz,52739306,Irene Reiher,1
Áncash,Huaraz,Huaraz,47582952,James Ratliff,0
Áncash,Huaraz,Huaraz,40060566,Irene Reiher,1
Áncash,Huaraz,Huaraz,78164652,Helen Mathias,0
Áncash,Huaraz,Huaraz,13701078,Irene Reiher,0
Áncash,Huaraz,Huaraz,69922490,Helen Mathias,1
Áncash,Huaraz,Huaraz,78249595,Helen Mathias,0
Áncash,Huaraz,Huaraz,33021906,Irene Reiher,0
Áncash,Huaraz,Huaraz,36844306,Irene Reiher,0
Áncash,Huaraz,Huaraz,68633134,Virginia Stinson,1
Áncash,Huaraz,Huaraz,71173941,Helen Mathias,0
Áncash,Huaraz,Huaraz,77260430,Virginia Stinson,1
Áncash,Huaraz,Huaraz,70882524,Terrell Gregory,0
Áncash,Huaraz,Huaraz,42461105,James Ratliff,0
Áncash,Huaraz,Huaraz,26982912,James Ratliff,1
Áncash,Huaraz,Huaraz,25913908,Virginia Stinson,1
Áncash,Huaraz,Huaraz,61256632,James Ratliff,1
Áncash,Huaraz,Huaraz,35412490,Virginia Stinson,1
Áncash,Huaraz,Huaraz,54412899,Terrell Gregory,0
Áncash,Huaraz,Huaraz,59819075,Terrell Gregory,0
Áncash,Huaraz,Huaraz,75034745,Irene Reiher,0
Áncash,Huaraz,Huaraz,76736712,Terrell Gregory,1
Áncash,Huaraz,Huaraz,12032437,Terrell Gregory,1
Áncash,Huaraz,Huaraz,55867363,Virginia Stinson,1
Áncash,Huaraz,Huaraz,79201341,Terrell Gregory,0
