region,provincia,distrito,candidato,dni,esvalido
Áncash,Santa,Chimbote,37827423,Virginia Stinson,0
Áncash,Santa,Chimbote,67162208,James Ratliff,1
Áncash,Santa,Chimbote,87283001,Irene Reiher,1
Áncash,Santa,Chimbote,52420383,Terrell Gregory,0
Áncash,Santa,Chimbote,35329572,Terrell Gregory,1
Áncash,Santa,Chimbote,34064210,Virginia Stinson,1
Áncash,Santa,Chimbote,88766469,Terrell Gregory,1
Áncash,Santa,Chimbote,39423622,Irene Reiher,0
Áncash,Santa,Chimbote,13070800,Irene Reiher,1
Áncash,Santa,Chimbote,10023640,James Ratliff,1
Áncash,Santa,Chimbote,10123456,James Ratliff,0
Áncash,Santa,Chimbote,54539127,Terrell Gregory,1
Áncash,Santa,Chimbote,26783975,Helen Mathias,1
Áncash,Santa,Chimbote,17332879,Terrell Gregory,1
Áncash,Santa,Chimbote,51975276,Virginia Stinson,1
Áncash,Santa,Chimbote,32084353,Terrell Gregory,0
Áncash,Santa,Chimbote,76999627,Virginia Stinson,1
Áncash,Santa,Chimbote,20501456,Virginia Stinson,0
Áncash,Santa,Chimbote,15956995,Terrell Gregory,0
Áncash,Santa,Chimbote,59997416,James Ratliff,0
Áncash,Santa,Chimbote,19419623,Helen Mathias,1
Áncash,Santa,Chimbote,15738205,James Ratliff,1
Áncash,Santa,Chimbote,57612879,Virginia Stinson,1
Áncash,Santa,Chimbote,34181361,Terrell Gregory,1
Áncash,Santa,Chimbote,66186796,James Ratliff,0
Áncash,Santa,Chimbote,89588185,Virginia Stinson,0
Áncash,Santa,Chimbote,37929610,Terrell Gregory,0
Áncash,Santa,Chimbote,41866944,Irene Reiher,1
Áncash,Santa,Chimbote,25555003,James Ratliff,1
Áncash,Santa,Chimbote,16273519,Terrell Gregory,1
Áncash,Santa,Chimbote,87819986,James Ratliff,1
Áncash,Santa,Chimbote,25255675,James Ratliff,0
Áncash,Santa,Chimbote,72834238,Virginia Stinson,1
Áncash,Santa,Chimbote,43279355,Virginia Stinson,1
Áncash,Santa,Chimbote,42422375,Irene Reiher,1
Áncash,Santa,Chimbote,85975102,Terrell Gregory,1
Áncash,Santa,Chimbote,64614484,Terrell Gregory,1
Áncash,Santa,Chimbote,83463046,Virginia Stinson,0
Áncash,Santa,Chimbote,73939939,Virginia Stinson,0
Áncash,Santa,Chimbote,56295391,Helen Mathias,0
Áncash,Santa,Chimbote,85599611,James Ratliff,1
Áncash,Santa,Chimbote,78458422,James Ratliff,1
Áncash,Santa,Chimbote,44564826,Virginia Stinson,1
Áncash,Santa,Chimbote,30741935,Virginia Stinson,0
Áncash,Santa,Chimbote,87641719,James Ratliff,1
Áncash,Santa,Chimbote,19279612,Irene Reiher,0
Áncash,Santa,Chimbote,29561677,James Ratliff,0
Áncash,Santa,Chimbote,48113667,James Ratliff,0
Áncash,Santa,Chimbote,85525895,Terrell Gregory,1
Áncash,Santa,Chimbote,21373305,Virginia Stinson,1
Áncash,Santa,Chimbote,18618446,Irene Reiher,0
Áncash,Santa,Chimbote,78123176,Irene Reiher,0
Áncash,Santa,Chimbote,58807832,Irene Reiher,1
Áncash,Santa,Chimbote,54392337,James Ratliff,1
Áncash,Santa,Chimbote,78025354,Terrell Gregory,1
Áncash,Santa,Chimbote,69171552,Virginia Stinson,0
Áncash,Santa,Chimbote,67020920,Helen Mathias,0
Áncash,Santa,Chimbote,24451498,James Ratliff,1
Áncash,Santa,Chimbote,30672074,Irene Reiher,0
Áncash,Santa,Chimbote,21114590,James Ratliff,0
