region,provincia,distrito,candidato,dni,esvalido
Huánuco,Marañón,Huacrachuco,42129602,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,36504416,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,28971605,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,49008420,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,43991617,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,20510338,Ellen Culliton,0
Huánuco,Marañón,Huacrachuco,41515138,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,36466826,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,14813693,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,45159414,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,35853583,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,67612168,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,80233929,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,44301274,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,79744682,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,87881575,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,59622191,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,86688066,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,24541849,Ellen Culliton,0
Huánuco,Marañón,Huacrachuco,21120862,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,83091801,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,38435839,Loretta Gardner,0
Huánuco,Marañón,Huacrachuco,84071873,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,31954620,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,46007081,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,21705552,Loretta Gardner,0
Huánuco,Marañón,Huacrachuco,22183807,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,36618316,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,22833578,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,70066475,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,41266275,Ellen Culliton,0
Huánuco,Marañón,Huacrachuco,43004628,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,66281693,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,35241570,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,44342949,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,71283579,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,26299242,Ellen Culliton,0
Huánuco,Marañón,Huacrachuco,36847947,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,36095260,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,51443249,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,22750190,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,61832481,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,81702296,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,72212289,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,39851605,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,49836461,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,41644581,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,80470618,Loretta Gardner,0
Huánuco,Marañón,Huacrachuco,23791401,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,52882587,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,43886962,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,52284836,Loretta Gardner,0
Huánuco,Marañón,Huacrachuco,10868194,Loretta Gardner,0
Huánuco,Marañón,Huacrachuco,17126660,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,77276078,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,87345193,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,62496559,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,62549035,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,24157553,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,74848096,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,59801298,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,15439064,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,32445056,Loretta Gardner,0
Huánuco,Marañón,Huacrachuco,32097703,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,34528812,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,51465310,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,60246906,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,59847852,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,60642198,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,37342032,Elizabeth Hickman,1
Huánuco,Marañón,Huacrachuco,62524704,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,30887627,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,71413814,Emily Gomez,0
Huánuco,Marañón,Huacrachuco,51246424,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,47184777,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,17433510,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,55516380,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,53981735,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,38259101,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,20876757,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,67225169,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,85254976,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,58774538,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,75171294,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,81187849,Elizabeth Hickman,0
Huánuco,Marañón,Huacrachuco,29395705,Ellen Culliton,1
Huánuco,Marañón,Huacrachuco,27841496,Loretta Gardner,1
Huánuco,Marañón,Huacrachuco,46620984,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,12803121,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,47517762,Paul Jennette,1
Huánuco,Marañón,Huacrachuco,72202171,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,35907350,Emily Gomez,1
Huánuco,Marañón,Huacrachuco,53710448,Paul Jennette,0
Huánuco,Marañón,Huacrachuco,42646489,Loretta Gardner,0
